codigo_interno,codigo_barras,descripcion,categoria,subcategoria,producto_tipo,unidad,marca,presentacion,operacion,afecto_isc,afecto_ivap,requiere_revision_tributaria,precio_compra,precio_venta,fecha_vencimiento,tipo_producto,foto,detraccion,stock_minimo,fuente,url_fuente
ABA-ACE-000052,7750262001170,"Aceite Ajonjoli Olivos del Sur 100 ml",ABARROTES,ACEITES,,UNIDAD,"Olivos del Sur","100 ml",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-ajonjoli-olivos-del-sur-100-ml/p
ABA-ACE-000056,8410010283324,"Aceite Carbonell Sol & Oliva 500 ml",ABARROTES,ACEITES,,UNIDAD,Carbonell,"500 ml",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-carbonell-sol-oliva-500ml-1027722/p
ABA-ACE-000399,7754842000188,"Aceite DE Coco Extra Virgen Gatti 650 g",ABARROTES,ACEITES,,UNIDAD,Gatti,"650 g",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-de-coco-extra-virgen-gatti-650g/p
ABA-ACE-000204,7501491062650,"Aceite En Aerosol Oleico Frasco 170 g",ABARROTES,ACEITES,,UNIDAD,Oleico,"170 g",GRAVADO,0,0,0,,,,PRODUCTO,,0,,PLAZAVEA,https://www.plazavea.com.pe/aceite-en-aerosol-oleico-frasco-170g/p
ABA-ACE-000203,7501491062810,"Aceite En Aerosol Oleico Jumbo Frasco 380 g",ABARROTES,ACEITES,,UNIDAD,Oleico,"380 g",GRAVADO,0,0,0,,,,PRODUCTO,,0,,PLAZAVEA,https://www.plazavea.com.pe/aceite-en-aerosol-oleico-jumbo-frasco-380g/p
ABA-ACE-000065,761720002087,"Aceite En Spray Mazola Original 170 g",ABARROTES,ACEITES,,UNIDAD,Mazola,"170 g",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-en-spray-mazola-original-170g-1070668/p
ABA-ACE-000072,7752612001465,"Aceite Girasol Huerto Alamein 900 ml",ABARROTES,ACEITES,,UNIDAD,"Huerto Alamein","900 ml",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-girasol-huerto-alamein-900ml-1022349/p
ABA-ACE-000117,7754725000823,"Aceite Girasol Vallenorte Botella 900 ml",ABARROTES,ACEITES,,UNIDAD,"Valle Norte","900 ml",GRAVADO,0,0,0,,,,PRODUCTO,,0,,PLAZAVEA,https://www.plazavea.com.pe/aceite-girasol-vallenorte-botella-900ml/p
ABA-ACE-000189,7501491062469,"Aceite Gourmet Campirana Oleico Botella 355 ml",ABARROTES,ACEITES,,UNIDAD,Oleico,"355 ml",GRAVADO,0,0,0,,,,PRODUCTO,,0,,PLAZAVEA,https://www.plazavea.com.pe/aceite-gourmet-campirana-oleico-botella-355ml/p
ABA-ACE-000190,7501491062445,"Aceite Gourmet Provenzal Oleico Botella 355 ml",ABARROTES,ACEITES,,UNIDAD,Oleico,"355 ml",GRAVADO,0,0,0,,,,PRODUCTO,,0,,PLAZAVEA,https://www.plazavea.com.pe/aceite-gourmet-provenzal-oleico-botella-355ml/p
ABA-ACE-000063,7752414003902,"Aceite Oliva Extra Virgen 460 g EL Olivar",ABARROTES,ACEITES,,UNIDAD,"El Olivar","460 g",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-oliva-extra-virgen-460g-el-olivar/p
ABA-ACE-000433,8410179101118,"Aceite Oliva Extra Virgen Borges Botella 1 L",ABARROTES,ACEITES,,UNIDAD,Borges,,GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-oliva-extra-virgen-borges-botella-1-litro-701283-2/p
ABA-ACE-000064,7757218000973,"Aceite Para Freír Oli21 500 g",ABARROTES,ACEITES,,UNIDAD,Oli21,"500 g",GRAVADO,0,0,0,,,,PRODUCTO,,0,,METRO,https://www.metro.pe/aceite-para-fre-r-oli21-500g-1070669/p
