fuente,ruta_fuente,categoria,subcategoria,producto_tipo
PLAZAVEA,/Bebidas/Gaseosas/,BEBIDAS,GASEOSAS,
PLAZAVEA,/Bebidas/Aguas/,BEBIDAS,AGUA,
PLAZAVEA,/Bebidas/Jugos y Otras Bebidas/Jugos y Néctares/,BEBIDAS,JUGOS Y NECTARES,
PLAZAVEA,/Bebidas/Jugos y Otras Bebidas/Té Bebible/,BEBIDAS,TE E INFUSIONES LISTAS,
PLAZAVEA,/Bebidas/Bebidas Funcionales/Bebidas Energizantes/,BEBIDAS,ENERGIZANTES,
PLAZAVEA,/Bebidas/Bebidas Funcionales/Bebidas Rehidratantes/,BEBIDAS,BEBIDAS DEPORTIVAS,
PLAZAVEA,"/Vinos, licores y cervezas/Cervezas/",LICORES,CERVEZA,
PLAZAVEA,"/Vinos, licores y cervezas/Vinos/",LICORES,VINO,
PLAZAVEA,"/Vinos, licores y cervezas/Espumantes/",LICORES,ESPUMANTES,
PLAZAVEA,/Lácteos y Huevos/Leche/,LACTEOS,LECHE,
PLAZAVEA,/Lácteos y Huevos/Yogurt/,LACTEOS,YOGURT,
PLAZAVEA,/Lácteos y Huevos/Mantequilla y Margarina/,LACTEOS,MANTEQUILLA Y MARGARINA,
PLAZAVEA,/Lácteos y Huevos/Huevos/,FRESCOS,HUEVOS,
PLAZAVEA,/Abarrotes/Arroz/,ABARROTES,ARROZ,
PLAZAVEA,/Abarrotes/Aceite/,ABARROTES,ACEITES,
PLAZAVEA,/Abarrotes/Azúcar y Endulzantes/,ABARROTES,AZUCAR,
PLAZAVEA,/Abarrotes/Menestras/,ABARROTES,MENESTRAS,
PLAZAVEA,/Abarrotes/Conservas/,ABARROTES,CONSERVAS,
PLAZAVEA,/Abarrotes/Chocolatería/,GALLETAS Y DULCES,CHOCOLATES,
PLAZAVEA,"/Abarrotes/Fideos, Pastas y Salsas/Fideos Largos/",ABARROTES,FIDEOS,
PLAZAVEA,"/Abarrotes/Fideos, Pastas y Salsas/Fideos Cortos/",ABARROTES,FIDEOS,
PLAZAVEA,"/Abarrotes/Fideos, Pastas y Salsas/Fideos Chinos/",ABARROTES,FIDEOS,
PLAZAVEA,"/Abarrotes/Fideos, Pastas y Salsas/Sémola y Fideos Especiales/",ABARROTES,FIDEOS,
PLAZAVEA,"/Abarrotes/Fideos, Pastas y Salsas/Salsas de Tomate/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Fideos, Pastas y Salsas/Otras Salsas/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Mayonesa/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Ketchup/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Mostaza/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Ají y Rocoto/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Sillao/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Vinagre/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Caldos en Cubitos/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Aderezos, Sazonadores y Otros/",ABARROTES,SALSAS Y SAZONADORES,
PLAZAVEA,"/Abarrotes/Salsas, Cremas y Condimentos/Sal y Pimienta/",ABARROTES,SAL,
PLAZAVEA,/Abarrotes/Galletas y Golosinas/Galletas Saladas/,GALLETAS Y DULCES,GALLETAS,
PLAZAVEA,/Abarrotes/Galletas y Golosinas/Galletas Dulces/,GALLETAS Y DULCES,GALLETAS,
PLAZAVEA,/Abarrotes/Galletas y Golosinas/Caramelos y Chupetes/,GALLETAS Y DULCES,GOLOSINAS,
PLAZAVEA,/Abarrotes/Galletas y Golosinas/Gomitas y Gomas de Mascar/,GALLETAS Y DULCES,GOLOSINAS,
PLAZAVEA,/Abarrotes/Galletas y Golosinas/Otras Golosinas/,GALLETAS Y DULCES,GOLOSINAS,
PLAZAVEA,/Abarrotes/Snacks y Piqueos/Papas/,SNACKS,SNACKS SALADOS,
PLAZAVEA,"/Abarrotes/Snacks y Piqueos/Camotes, Chifles y Yucas/",SNACKS,SNACKS SALADOS,
PLAZAVEA,/Abarrotes/Snacks y Piqueos/Piqueos Mixtos/,SNACKS,SNACKS SALADOS,
PLAZAVEA,/Abarrotes/Snacks y Piqueos/Maíz/,SNACKS,EXTRUIDOS,
PLAZAVEA,/Abarrotes/Snacks y Piqueos/Pretzels/,SNACKS,EXTRUIDOS,
PLAZAVEA,/Abarrotes/Snacks y Piqueos/Frutos Secos/,SNACKS,FRUTOS SECOS,
PLAZAVEA,"/Abarrotes/Snacks y Piqueos/Maní, Habas, Pistachos y Semillas/",SNACKS,FRUTOS SECOS,
PLAZAVEA,/Desayunos/Cereales/,ABARROTES,DESAYUNO,
PLAZAVEA,"/Desayunos/Mermeladas, Mieles y Dulces/",GALLETAS Y DULCES,DULCES,
PLAZAVEA,/Limpieza/Cuidado de la Ropa/Detergentes en Polvo/,LIMPIEZA,DETERGENTES,
PLAZAVEA,/Limpieza/Cuidado de la Ropa/Detergentes Líquidos/,LIMPIEZA,DETERGENTES,
PLAZAVEA,/Limpieza/Cuidado de la Ropa/Jabones de Ropa/,LIMPIEZA,DETERGENTES,
PLAZAVEA,/Limpieza/Cuidado de la Ropa/Suavizantes/,LIMPIEZA,SUAVIZANTES,
PLAZAVEA,/Limpieza/Limpieza de Cocina/Lavavajillas/,LIMPIEZA,LAVAVAJILLAS,
PLAZAVEA,/Limpieza/Limpieza de Baño/,LIMPIEZA,LEJIAS Y DESINFECTANTES,
PLAZAVEA,/Limpieza/Papel para el Hogar/,LIMPIEZA,PAPEL Y CELULOSA,
PLAZAVEA,/Limpieza/Accesorios de Limpieza/,LIMPIEZA,UTILES DE LIMPIEZA,
PLAZAVEA,/Cuidado Personal y Salud/Cuidado del Cabello/,HIGIENE PERSONAL,SHAMPOO Y ACONDICIONADOR,
PLAZAVEA,/Cuidado Personal y Salud/Cuidado Bucal/,HIGIENE PERSONAL,CUIDADO DENTAL,
PLAZAVEA,/Cuidado Personal y Salud/Afeitado/,HIGIENE PERSONAL,AFEITADO,
PLAZAVEA,/Cuidado Personal y Salud/Higiene Personal/Jabones en Barra/,HIGIENE PERSONAL,JABONES,
PLAZAVEA,/Cuidado Personal y Salud/Higiene Personal/Jabones Líquidos/,HIGIENE PERSONAL,JABONES,
PLAZAVEA,/Cuidado Personal y Salud/Higiene Personal/Desodorantes para Hombre/,HIGIENE PERSONAL,DESODORANTES,
PLAZAVEA,/Cuidado Personal y Salud/Higiene Personal/Desodorantes para Mujer/,HIGIENE PERSONAL,DESODORANTES,
PLAZAVEA,/Cuidado Personal y Salud/Protección Femenina/,HIGIENE PERSONAL,PANALES Y TOALLAS,
METRO,/Aguas y Bebidas/Gaseosas/,BEBIDAS,GASEOSAS,
METRO,/Aguas y Bebidas/Aguas/,BEBIDAS,AGUA,
METRO,/Aguas y Bebidas/Jugos y otras bebidas/Jugos Naturales/,BEBIDAS,JUGOS Y NECTARES,
METRO,/Aguas y Bebidas/Jugos y otras bebidas/Té Helado/,BEBIDAS,TE E INFUSIONES LISTAS,
METRO,/Aguas y Bebidas/Bebidas Regeneradoras/Energizantes/,BEBIDAS,ENERGIZANTES,
METRO,/Aguas y Bebidas/Bebidas Regeneradoras/Rehidratantes/,BEBIDAS,BEBIDAS DEPORTIVAS,
METRO,"/Cervezas, Vinos y Licores/Cervezas/",LICORES,CERVEZA,
METRO,"/Cervezas, Vinos y Licores/Vinos/",LICORES,VINO,
METRO,/Lácteos/Leches/,LACTEOS,LECHE,
METRO,/Lácteos/Yogures/,LACTEOS,YOGURT,
METRO,/Lácteos/Mantequillas y Margarinas/,LACTEOS,MANTEQUILLA Y MARGARINA,
METRO,/Abarrotes/Arroz/,ABARROTES,ARROZ,
METRO,/Abarrotes/Aceites/,ABARROTES,ACEITES,
METRO,/Abarrotes/Menestras/,ABARROTES,MENESTRAS,
METRO,/Abarrotes/Alimentos en Conserva/,ABARROTES,CONSERVAS,
METRO,/Abarrotes/Chocolatería/,GALLETAS Y DULCES,CHOCOLATES,
METRO,"/Abarrotes/Fideos, Pastas y Salsas/Fideos Largos/",ABARROTES,FIDEOS,
METRO,"/Abarrotes/Fideos, Pastas y Salsas/Fideos Cortos y Pastinas/",ABARROTES,FIDEOS,
METRO,"/Abarrotes/Fideos, Pastas y Salsas/Fideos al Huevo y Especiales/",ABARROTES,FIDEOS,
METRO,"/Abarrotes/Fideos, Pastas y Salsas/Salsas de Mesa/",ABARROTES,SALSAS Y SAZONADORES,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Galletas/",GALLETAS Y DULCES,GALLETAS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Bizcotelas, Barquillos y Wafers/",GALLETAS Y DULCES,GALLETAS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Caramelos, Chupetes y Lentejitas/",GALLETAS Y DULCES,GOLOSINAS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Marshmellows, Gomas y Chicles/",GALLETAS Y DULCES,GOLOSINAS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Chifles, Camotes, Yucas y Chicharrones/",SNACKS,SNACKS SALADOS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Piqueos/",SNACKS,SNACKS SALADOS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Maní, Habas y Canchita/",SNACKS,FRUTOS SECOS,
METRO,"/Abarrotes/Galletas, Snacks y Golosinas/Frutos Secos y Frutos Deshidratados/",SNACKS,FRUTOS SECOS,
METRO,/Desayuno/Cereales y Avenas/,ABARROTES,DESAYUNO,
METRO,/Desayuno/Azúcar y Edulcorantes/,ABARROTES,AZUCAR,
METRO,/Desayuno/Mermeladas y Mieles/,GALLETAS Y DULCES,DULCES,
