canonica,alias
"3 Ositos",
7UP,
A1,
Ace,
Aconcagua,
Ajinomen,
Ajinomoto,
Alacena,
Alianza,
Altomayo,
Always,
Ambrosoli,
Anchor,
Anita,
Anua,
Appleton,
Aquarius,
Arequipeña,
Ariel,
Ayudín,
Babysec,
Barena,
Beldent,
Bell's,
"Big Cola",
Bimbo,
"Blanca Flor",
Bolivar,
Bolívar,
Bonlé,
Braedt,
Bubbaloo,
Budweiser,
Burn,
Cafetal,
Campomar,
Capri,
Cartavio,
"Casa Grande",
"Casillero del Diablo",
Casino,
Cañonazo,
Charada,
Cheetos,
"Chicha Naturale",
Chizitos,
Chomp,
"Chupetín Chupa Chups",
Cielo,
Cifrut,
Clorox,
"Club Social",
Coca-Cola,
Cocinero,
Colgate,
Concordia,
Corona,
Costa,
Costeño,
Cristal,
"Cua Cua",
"Cuatro Gallos",
Cusqueña,
Danlac,
Deleite,
Dento,
D'Onofrio,
"Don Vittorio",
Doritos,
Dove,
Downy,
"Doña Gusta",
"Doña Isabel",
"Doña Pepa",
Ecco,
Ego,
Elite,
Emsal,
Fanny,
Fanta,
Faraón,
Favorita,
Field,
Florida,
Frac,
"Free Tea",
Frit-Lay,
Frugos,
"Gato Negro",
Gatorade,
Gillette,
"Globo Pop",
Gloria,
GN,
Golden,
"Granola Andina",
Guaraná,
Halls,
Harpic,
"Head & Shoulders",
Heineken,
Herbi,
Hershey's,
Hipoglós,
Hornimans,
Huggies,
Ideal,
"Inca Kola",
"Inka Chips",
Johnson's,
Karinto,
Kellogg's,
Kikkoman,
KitKat,
"Kola Real",
Kolynos,
Kotex,
"La Calera",
Laive,
"La Segoviana",
Lavaggi,
Lay's,
Libby's,
Lipton,
Listerine,
Loa,
Lux,
M&M's,
Maggi,
Maizena,
Manty,
"Marco Polo",
Margarita,
Marina,
Marsella,
McColin's,
Mennen,
Mentitas,
Milkito,
Miller,
Milo,
Mogul,
"Molino Rojo",
Molitalia,
Monster,
Morochas,
"Mr. Músculo",
Neko,
Nescafé,
Nesquik,
Nestlé,
Nicolini,
Nik,
Nivea,
Noble,
Nosotras,
Nova,
Nutella,
Ocucaje,
"Old Spice",
"Olivar del Sur",
Opal,
Oral-B,
Oreo,
Oro,
"Otto Kunz",
Paisana,
Palmolive,
Pampers,
Pantene,
Paracas,
Paramonga,
Patito,
Pepsi,
Picaras,
"Pilsen Callao",
"Pilsen Trujillo",
Pinesol,
"Piqueo Snax",
Poett,
Pomarola,
Powerade,
Primor,
Princesa,
Pringles,
Protex,
Pulp,
Quaker,
Queirolo,
Real,
"Red Bull",
Rellenitas,
Rexona,
Riccadonna,
Ritz,
Salvo,
"San Fernando",
"San Luis",
"San Mateo",
"Santa Catalina",
"Santa Elena",
"Santiago Queirolo",
Sao,
Sapolio,
Savital,
Schick,
Scotch-Brite,
Sedal,
"Sello de Oro",
Sibarita,
Snickers,
Socosani,
"Sol del Cusco",
"Speed Stick",
Sporade,
Sprite,
"Stella Artois",
Suave,
Suavitel,
Sublime,
Tabernero,
Tampico,
Tentación,
Tortees,
Trident,
"Triple Kola",
Triángulo,
Trome,
Trujillo,
Trululu,
Union,
"Vainilla Field",
"Valle Norte",
Venus,
Vida,
Virutex,
Vizzio,
Volt,
Watts,
Wawasana,
Wong,
"Wong Food",
Zurit,
Ángel,
Head & Shoulders,H&S
Head & Shoulders,HyS
Inca Kola,Inka Kola
Pilsen Callao,Pilsen
Kola Real,KR
Frit-Lay,Frito Lay
Frit-Lay,Fritolay
Coca-Cola,Coca Cola Company
D'Onofrio,Donofrio Nestle
Gloria,Leche Gloria
