categoria,subcategoria,producto_tipo,igv,isc,ivap,requiere_revision,fuente_normativa,observacion,verificado_el
BEBIDAS,GASEOSAS,*,GRAVADO,REVISAR,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; ISC: TUO Ley IGV art. 50 y Apéndice IV,Gravada de IGV sin discusion. El ISC de bebidas azucaradas depende del contenido de azucar del producto concreto: la version sin azucar puede quedar fuera. Se marca por producto.,2026-09-08
BEBIDAS,AGUA,*,GRAVADO,NO,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I,Agua embotellada sin azucar ni edulcorante anadido: fuera del ambito del ISC de bebidas azucaradas.,2026-09-08
BEBIDAS,JUGOS Y NECTARES,*,GRAVADO,REVISAR,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; ISC: TUO Ley IGV art. 50 y Apéndice IV,Mismo criterio que gaseosas: el ISC depende del azucar anadido del producto concreto.,2026-09-08
BEBIDAS,ENERGIZANTES,*,GRAVADO,REVISAR,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; ISC: TUO Ley IGV art. 50 y Apéndice IV,Partida 22.02 (bebidas no alcoholicas). Confirmar alcance y sistema de ISC del producto antes de darlo por afecto.,2026-09-08
BEBIDAS,BEBIDAS DEPORTIVAS,*,GRAVADO,REVISAR,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; ISC: TUO Ley IGV art. 50 y Apéndice IV,Rehidratantes con azucar anadido. Mismo criterio que gaseosas.,2026-09-08
BEBIDAS,TE E INFUSIONES LISTAS,*,GRAVADO,REVISAR,NO,false,TUO Ley IGV art. 1 (regla general); no figura en el Apéndice I; ISC: TUO Ley IGV art. 50 y Apéndice IV,"Te listo para tomar con azucar anadido: es una bebida industrializada, no la hoja de te de la partida 09.02.",2026-09-08
LICORES,CERVEZA,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
LICORES,VINO,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
LICORES,PISCO,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
LICORES,RON,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
LICORES,WHISKY,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
LICORES,VODKA,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
LICORES,ESPUMANTES,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,Bebida alcoholica: en el ambito del ISC. El minimarket NO lo declara — el art. 50 grava la venta a nivel de productor y la importacion — pero el producto queda identificado.,2026-09-08
TABACO,CIGARRILLOS,*,GRAVADO,SI,NO,false,TUO Ley IGV art. 50 y Apéndice IV,En el ambito del ISC. El sistema todavia no maneja tabaco; la fila existe para que el dia que se venda no se clasifique a ojo.,2026-09-08
ABARROTES,ARROZ,*,PENDIENTE,NO,REVISAR,true,"Ley 28211 art. 7, modificado por Ley 28309 art. 11",No todo arroz recibe el mismo tratamiento. Hay que precisar el producto_tipo: el pilado va por la Ley 28211 y el arroz con cascara esta en el Apendice I.,2026-09-08
ABARROTES,ARROZ,ARROZ_PILADO,INAFECTO,NO,SI,false,"Ley 28211 art. 7, modificado por Ley 28309 art. 11","Partida 1006.30.00.00. El art. 7 declara INAFECTAS al IGV, ISC e IPM tanto la operacion gravada con IVAP como las ventas posteriores del bien en el territorio nacional. El minimarket es venta posterior: no cobra IGV ni declara IVAP, pero la operacion se informa como inafecta.",2026-09-08
ABARROTES,ARROZ,ARROZ_CON_CASCARA,EXONERADO,NO,NO,false,"Apéndice I TUO Ley IGV (texto actualizado al 24.4.2024, DS 058-2024-EF), partida 1006.10.90.00","Arroz paddy. Figura en el Apendice I. No es lo que vende un minimarket, pero la regla existe para no confundirlo con el pilado.",2026-09-08
