categoria,codigo_categoria,subcategoria,codigo_subcategoria,unidad_sugerida
BEBIDAS,BEB,GASEOSAS,GAS,UNIDAD
BEBIDAS,BEB,AGUA,AGU,UNIDAD
BEBIDAS,BEB,JUGOS Y NECTARES,JUG,UNIDAD
BEBIDAS,BEB,ENERGIZANTES,ENE,UNIDAD
BEBIDAS,BEB,BEBIDAS DEPORTIVAS,DEP,UNIDAD
BEBIDAS,BEB,TE E INFUSIONES LISTAS,TEA,UNIDAD
LICORES,LIC,CERVEZA,CER,UNIDAD
LICORES,LIC,VINO,VIN,UNIDAD
LICORES,LIC,PISCO,PIS,UNIDAD
LICORES,LIC,RON,RON,UNIDAD
LICORES,LIC,WHISKY,WHI,UNIDAD
LICORES,LIC,VODKA,VOD,UNIDAD
LICORES,LIC,ESPUMANTES,ESP,UNIDAD
ABARROTES,ABA,ARROZ,ARR,UNIDAD
ABARROTES,ABA,ACEITES,ACE,UNIDAD
ABARROTES,ABA,AZUCAR,AZU,UNIDAD
ABARROTES,ABA,SAL,SAL,UNIDAD
ABARROTES,ABA,FIDEOS,FID,UNIDAD
ABARROTES,ABA,HARINAS,HAR,UNIDAD
ABARROTES,ABA,MENESTRAS,MEN,UNIDAD
ABARROTES,ABA,CONSERVAS,CON,UNIDAD
ABARROTES,ABA,SALSAS Y SAZONADORES,SAZ,UNIDAD
ABARROTES,ABA,DESAYUNO,DES,UNIDAD
ABARROTES,ABA,CAFE,CAF,UNIDAD
ABARROTES,ABA,INFUSIONES,INF,UNIDAD
LACTEOS,LAC,LECHE,LEC,UNIDAD
LACTEOS,LAC,YOGURT,YOG,UNIDAD
LACTEOS,LAC,QUESOS,QUE,UNIDAD
LACTEOS,LAC,MANTEQUILLA Y MARGARINA,MAN,UNIDAD
LACTEOS,LAC,CREMAS,CRE,UNIDAD
GALLETAS Y DULCES,GAL,GALLETAS,GAL,UNIDAD
GALLETAS Y DULCES,GAL,DULCES,DUL,UNIDAD
GALLETAS Y DULCES,GAL,CHOCOLATES,CHO,UNIDAD
GALLETAS Y DULCES,GAL,GOLOSINAS,GOL,UNIDAD
GALLETAS Y DULCES,GAL,PANETONES,PAN,UNIDAD
SNACKS,SNA,SNACKS SALADOS,SAL,UNIDAD
SNACKS,SNA,EXTRUIDOS,EXT,UNIDAD
SNACKS,SNA,FRUTOS SECOS,FRU,UNIDAD
LIMPIEZA,LIM,DETERGENTES,DET,UNIDAD
LIMPIEZA,LIM,LAVAVAJILLAS,LAV,UNIDAD
LIMPIEZA,LIM,LEJIAS Y DESINFECTANTES,LEJ,UNIDAD
LIMPIEZA,LIM,SUAVIZANTES,SUA,UNIDAD
LIMPIEZA,LIM,PAPEL Y CELULOSA,PAP,UNIDAD
LIMPIEZA,LIM,UTILES DE LIMPIEZA,UTI,UNIDAD
HIGIENE PERSONAL,HIG,SHAMPOO Y ACONDICIONADOR,SHA,UNIDAD
HIGIENE PERSONAL,HIG,JABONES,JAB,UNIDAD
HIGIENE PERSONAL,HIG,CUIDADO DENTAL,DEN,UNIDAD
HIGIENE PERSONAL,HIG,DESODORANTES,DEO,UNIDAD
HIGIENE PERSONAL,HIG,PANALES Y TOALLAS,PAN,UNIDAD
HIGIENE PERSONAL,HIG,AFEITADO,AFE,UNIDAD
PANADERIA,PAD,PAN,PAN,UNIDAD
PANADERIA,PAD,PASTELERIA,PAS,UNIDAD
FRESCOS,FRE,FRUTAS,FRU,KG
FRESCOS,FRE,VERDURAS,VER,KG
FRESCOS,FRE,HUEVOS,HUE,UNIDAD
FRESCOS,FRE,CARNES,CAR,KG
FRESCOS,FRE,POLLO,POL,KG
FRESCOS,FRE,PESCADOS,PES,KG
FRESCOS,FRE,EMBUTIDOS,EMB,UNIDAD
MASCOTAS,MAS,PERROS,PER,UNIDAD
MASCOTAS,MAS,GATOS,GAT,UNIDAD
