fuente,categoria,subcategoria,producto_tipo,marca,descripcion,presentacion,codigo_barras,precio_referencia,url_fuente,fecha_consulta
METRO,ABARROTES,ACEITES,,Metro,"Aceite Vegetal Metro 900ml","900 ml",2050043186511,5.70,https://www.metro.pe/aceite-vegetal-metro-botella-900-ml-717239/p,2026-09-08
METRO,ABARROTES,ACEITES,,Primor,"Aceite Vegetal Primor Premium Botella 900ml","900 ml",7750243036061,9.30,https://www.metro.pe/aceite-vegetal-primor-premium-botella-900ml-3198/p,2026-09-08
METRO,ABARROTES,ACEITES,,Primor,"Aceite Vegetal Primor Clásico Botella 1.8L","1.8 L",7750243059381,15.50,https://www.metro.pe/aceite-vegetal-primor-cl-sico-botella-1-8l-929686/p,2026-09-08
METRO,ABARROTES,ACEITES,,Maxima,"Aceite Vegetal Máxima 900ml","900 ml",7807910004158,5.50,https://www.metro.pe/aceite-vegetal-maxima-botella-900-ml-717238/p,2026-09-08
METRO,ABARROTES,ACEITES,,Sao,"Aceite de Soya Sao Botella 900ml","900 ml",7773101000257,6.70,https://www.metro.pe/aceite-de-soya-sao-botella-900ml-31484/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Girasol Cuisine & Co 900ml","900 ml",2050044381731,7.40,https://www.metro.pe/aceite-de-girasol-cuisine-co-900ml-952936/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Extra Virgen Cuisine & Co 1L","1 L",7807910041467,47.90,https://www.metro.pe/aceite-de-oliva-extra-virgen-cuisine-co-botella-1-lt-769516/p,2026-09-08
METRO,ABARROTES,ACEITES,,Maxima,"Aceite Vegetal Máxima 900ml","900 ml",2050044351697,5.70,https://www.metro.pe/aceite-vegetal-maxima-900ml-1021461/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite Vegetal Cuisine & Co 900ml","900 ml",6007715022420,6.50,https://www.metro.pe/aceite-vegetal-cuisine-co-900ml-786936/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Extra Virgen Cuisine & Co 500ml","500 ml",7703616292922,24.50,https://www.metro.pe/aceite-de-oliva-extra-virgen-cuisine-co-botella-500-ml-769515-2/p,2026-09-08
METRO,ABARROTES,ACEITES,,"El Olivar","Aceite de Oliva El Olivar Extra Virgen 500ml","500 ml",7752414047845,34.90,https://www.metro.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-500-ml-32783/p,2026-09-08
METRO,ABARROTES,ACEITES,,Primor,"Aceite Vegetal Primor Clásico Botella 900ml","900 ml",7750243979214,10.10,https://www.metro.pe/aceite-vegetal-primor-cl-sico-botella-900ml-3201-2/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Extra Virgen Cuisine & Co 250ml","250 ml",2050044434567,14.90,https://www.metro.pe/aceite-de-oliva-extra-virgen-cuisine-co-250ml-1031908/p,2026-09-08
METRO,ABARROTES,ACEITES,,Maxima,"Aceite Vegetal de Soya Máxima 5L","5 L",7807910042099,31.50,https://www.metro.pe/aceite-vegetal-de-soya-maxima-5l-973623-2/p,2026-09-08
METRO,ABARROTES,ACEITES,,Deleite,"Aceite Vegetal Deleite Premium 900ml","900 ml",7759222002080,7.50,https://www.metro.pe/aceite-vegetal-deleite-premium-x-900-ml/p,2026-09-08
METRO,ABARROTES,ACEITES,,Borges,"Aceite De Canola Borges Botella 1 Litro",,8410179010809,11.90,https://www.metro.pe/aceite-de-canola-borges-botella-1-litro-746009/p,2026-09-08
METRO,ABARROTES,ACEITES,,"El Olivar","Aceite de Oliva El Olivar Extra Virgen Botella 200 ml","200 ml",7752414047852,18.50,https://www.metro.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-200-ml-32782/p,2026-09-08
METRO,ABARROTES,ACEITES,,Pam,"Aceite Vegetal PAM Original Spray 170g","170 g",,26.90,https://www.metro.pe/aceite-vegetal-pam-original-spray-170g-59484001/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Filippo Berio","Aceite de Oliva Filippo Berio Extra Virgen 500ml","500 ml",8002210500204,32.90,https://www.metro.pe/aceite-de-oliva-filippo-berio-extra-virgen-500ml-336046-2/p,2026-09-08
METRO,ABARROTES,ACEITES,,Carbonell,"Aceite de Oliva Extra Virgen Carbonell Botella 1 Lt","1 Lt",8410010800859,59.90,https://www.metro.pe/aceite-de-oliva-extra-virgen-carbonell-botella-1-lt-39846/p,2026-09-08
METRO,ABARROTES,ACEITES,,"La Española","Aceite de Oliva La Española Extra Virgen Botella 1 L Aceite de Oliva La Española Extra Virgen Botella 1L","1 L",8410660101498,49.90,https://www.metro.pe/aceite-de-oliva-la-espanola-extra-virgen-botella-1-l-35315/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Extra Virgen Cuisine & Co 2L","2 L",2050044434581,84.90,https://www.metro.pe/aceite-de-oliva-extra-virgen-cuisine-co-2l-1031909/p,2026-09-08
METRO,ABARROTES,ACEITES,,Metro,"Aceite Vegetal Metro 5L ACEITE VEGETAL METRO X 5L","5 L",2050044483206,32.50,https://www.metro.pe/aceite-vegetal-metro-5l-1029868/p,2026-09-08
METRO,ABARROTES,ACEITES,,Dgussto,"Aceite de Girasol Mucho Gussto 900ml","900 ml",7790070231536,7.80,https://www.metro.pe/aceite-de-girasol-mucho-gussto-900ml-1016748/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Filippo Berio","Aceite de Oliva Extra Virgen Filippo Berio 750ml","750 ml",8002210560000,49.90,https://www.metro.pe/aceite-de-oliva-extra-virgen-filippo-berio-750ml-1014186/p,2026-09-08
METRO,ABARROTES,ACEITES,,"De La Nona","Aceite de Ajonjolí Bárcidda 270ml","270 ml",6939945111318,14.20,https://www.metro.pe/aceite-de-ajonjoli-barcidda-270ml-992437/p,2026-09-08
METRO,ABARROTES,ACEITES,,Costeño,"Aceite de Soya Costeño 900ml","900 ml",7755139003233,7.20,https://www.metro.pe/aceite-de-soya-costeno-900ml/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Olivos del Sur","Aceite de Ajonjolí Olivos del Sur 200ml","200 ml",7750262000142,14.90,https://www.metro.pe/ac-de-ajonjoli-botx200-olivos-del-sur/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Coco Orgánico Cuisine & Co 350ml","350 ml",2050044104569,29.90,https://www.metro.pe/aceite-de-coco-organico-cuisine-co-350ml-2/p,2026-09-08
METRO,ABARROTES,ACEITES,,Oléico,"Aceite De Cartamo Oléico Botella 710 ml","710 ml",7501491062643,32.90,https://www.metro.pe/aceite-de-cartamo-oleico-botella-710-ml-904816/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Puro Cuisine & Co Botella 250ml","250 ml",7807910036593,17.00,https://www.metro.pe/aceite-de-oliva-puro-cuisine-co-botella-250ml-927804/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Puro Cuisine & Co Botella 500ml","500 ml",7807910036609,26.90,https://www.metro.pe/aceite-de-oliva-puro-cuisine-co-botella-500ml-927803/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Oliva Puro Cuisine & Co Botella 1L","1 L",2050044371817,46.90,https://www.metro.pe/aceite-de-oliva-puro-cuisine-co-botella-1l-927802/p,2026-09-08
METRO,ABARROTES,ACEITES,,Borges,"Aceite De Canola Borges Botella 2 Litros",,8410179011394,21.90,https://www.metro.pe/aceite-de-canola-borges-botella-2-litros-793725/p,2026-09-08
METRO,ABARROTES,ACEITES,,"Cuisine & Co","Aceite de Canola Cuisine & Co 1L","1 L",7807910026655,10.90,https://www.metro.pe/aceite-de-canola-cuisine-co-1l-720717/p,2026-09-08
METRO,ABARROTES,ACEITES,,Primor,"Aceite Primor Botella 5 Litros",,7750243055680,54.90,https://www.metro.pe/aceite-primor-botella-5-litros-3203-2/p,2026-09-08
METRO,ABARROTES,ACEITES,,Cocinero,"Aceite Vegetal Cocinero 900ml","900 ml",7750243034234,8.10,https://www.metro.pe/aceite-cocinero-botella-1-litro-11946/p,2026-09-08
METRO,ABARROTES,ACEITES,,Borges,"Aceite de Oliva Borges Extra Virgen Botella 500 ml","500 ml",8410179100036,29.90,https://www.metro.pe/aceite-de-oliva-borges-extra-virgen-botella-500-ml-366689/p,2026-09-08
