fuente,categoria,subcategoria,producto_tipo,marca,descripcion,presentacion,codigo_barras,precio_referencia,url_fuente,fecha_consulta
PLAZAVEA,ABARROTES,ACEITES,,PRIMOR,"Aceite Vegetal Premium PRIMOR Botella 900ml","900 ml",7750243067997,8.90,https://www.plazavea.com.pe/aceite-vegetal-premium-primor-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,PRIMOR,"Aceite Vegetal PRIMOR Clásico Botella 900ml","900 ml",7750243068000,8.50,https://www.plazavea.com.pe/aceite-vegetal-primor-clasico-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,BELL'S,"Aceite Vegetal BELL'S Botella 900ml","900 ml",7891080136276,5.70,https://www.plazavea.com.pe/aceite-vegetal-bells-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,SAO,"Aceite de Soya SAO Botella 900ml","900 ml",7750243068109,6.60,https://www.plazavea.com.pe/aceite-de-soya-sao-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,PRIMOR,"Aceite Vegetal PRIMOR Clásico Botella 1.8L","1.8 L",7750243059381,15.50,https://www.plazavea.com.pe/aceite-vegetal-primos-clasico-botella-1-8l/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,BELL'S,"Aceite de Soya BELL'S Botella 900ml","900 ml",7891107112818,5.50,https://www.plazavea.com.pe/aceite-de-soya-bells-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,"EL OLIVAR","Aceite de Oliva EL OLIVAR Extra Virgen Botella 200ml","200 ml",,14.90,https://www.plazavea.com.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-200ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,VALLENORTE,"Aceite Girasol VALLENORTE Botella 900ml","900 ml",7754725000823,9.50,https://www.plazavea.com.pe/aceite-girasol-vallenorte-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,BELL'S,"Aceite de Girasol BELL'S SELECCIÓN Botella 900ml","900 ml",2200203264003,7.50,https://www.plazavea.com.pe/aceite-girasol-bells-seleccion-botella-900ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,BELL'S,"Aceite de Oliva BELL'S Extra Virgen Botella 2L","2 L",2200202563589,69.90,https://www.plazavea.com.pe/aceite-de-oliva-bells-extra-virgen-botella-2l/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,BELL'S,"Aceite de Oliva Extra Virgen BELL'S Botella 500ml","500 ml",2200202071916,27.90,https://www.plazavea.com.pe/aceite-de-oliva-extra-virgen-bells-botella-500ml/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,BELL'S,"Aceite de Oliva BELL'S Extra Virgen Botella 1L","1 L",2200202071831,44.90,https://www.plazavea.com.pe/aceite-de-oliva-bells-extra-virgen-botella-1l/p,2026-09-08
PLAZAVEA,ABARROTES,ACEITES,,"EL OLIVAR","Aceite de Oliva EL OLIVAR Extra Virgen Botella 500ml","500 ml",,33.90,https://www.plazavea.com.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-500ml/p,2026-09-08
